KldB_Code_5,Berufsbenennung
34313,Wasserversorgungsberater/in
34313,Wasserversorgungstechniker/in
31143,Wasserwirtschaftsingenieur/in (FS) - Wasserbewirtschaftung
31143,Wasserwirtschaftsingenieur/in (FS) - Wasserversorg./Abwasser
51522,Weichenwärter/in
11194,Weideverwalter/in
11694,Weingutsverwalter/in
92114,Werbemanager/in
23193,"Werkführer/in (Papier-, Zellstoffherstellung)"
82594,Werkstattleiter/in (Orthopädie-Technik)
63213,Wirtschaftler/in - Gaststätten- und Hotelwesen
51613,Wirtschaftler/in - Transportwesen
72243,Wirtschaftsprüfungsassistent/in
11194,Wirtschaftsverwalter/in
81352,Wochenbettpfleger/in
81352,Wochenpfleger/in
41482,Wünschelrutengänger/in
21411,Zahnformer/in
82594,Zahntechnische/r Laborleiter/in
34212,Zentralheizungs- und Lüftungsbauer/in
34212,Zentralheizungsbauer/in
34212,Zentralheizungsinstallateur/in
34212,Zentralheizungsmonteur/in
93613,Zupfinstrumentensachverständige/r
© Statistik der Bundesagentur für Arbeit,"Erstellungsdatum: 21.01.2025, DK"
